Column1,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,AgeGroup,,,,,,,,,
442,15,Spotify,4,Yes,Yes,No,Pop,Yes,No,105,Never,Rarely,Never,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,3,5,4,0,1,10-17 years,,,,,,,,,
443,17,Spotify,2,Yes,Yes,No,Pop,Yes,Yes,122,Rarely,Never,Never,Rarely,Never,Sometimes,Never,Very frequently,Rarely,Never,Never,Very frequently,Never,Sometimes,Never,Never,5,2,3,1,1,10-17 years,,,,,,,,,
448,17,Other streaming service,6,Yes,No,Yes,Rap,Yes,No,140,Rarely,Never,Rarely,Never,Sometimes,Very frequently,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Very frequently,Rarely,Never,3,3,0,0,1,10-17 years,,,,,,,,,
457,16,Spotify,3,Yes,Yes,No,K pop,No,Yes,174,Rarely,Never,Sometimes,Never,Never,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,Never,Very frequently,Rarely,Sometimes,Never,Never,10,2,7,8,1,10-17 years,,,,,,,,,
460,16,Spotify,3,Yes,No,No,Pop,Yes,No,112,Very frequently,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Very frequently,Very frequently,Never,Sometimes,Never,3,4,6,8,1,10-17 years,,,,,,,,,
462,16,Spotify,7,Yes,No,No,Video game music,Yes,No,999999999,Never,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Never,Never,Never,Very frequently,Sometimes,Never,Very frequently,Rarely,Sometimes,4,8,8,4,0,10-17 years,,,,,,,,,
470,14,Spotify,3,Yes,No,No,Rock,Yes,No,76,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,2,6,3,0,-1,10-17 years,,,,,,,,,
483,16,Other streaming service,3,Yes,No,No,Pop,No,Yes,120,Never,Never,Never,Never,Never,Very frequently,Never,Very frequently,Never,Never,Never,Very frequently,Sometimes,Never,Never,Never,6,0,0,0,1,10-17 years,,,,,,,,,
494,16,Spotify,3,Yes,Yes,No,K pop,Yes,Yes,115,Rarely,Never,Rarely,Never,Never,Very frequently,Very frequently,Very frequently,Never,Sometimes,Never,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,2,7,0,0,1,10-17 years,,,,,,,,,
501,17,Spotify,3,Yes,Yes,No,Rock,Yes,No,120,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Rarely,Never,Rarely,Very frequently,Very frequently,Never,Rarely,Very frequently,Never,1,5,6,4,0,10-17 years,,,,,,,,,
504,17,YouTube Music,3,Yes,No,No,Rock,No,No,122,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Very frequently,Sometimes,Never,Sometimes,Very frequently,Very frequently,6,3,6,0,1,10-17 years,,,,,,,,,
505,16,Spotify,5,Yes,Yes,Yes,Metal,Yes,Yes,129,Sometimes,Never,Never,Rarely,Never,Rarely,Sometimes,Never,Never,Rarely,Very frequently,Sometimes,Never,Sometimes,Very frequently,Sometimes,7,4,8,0,1,10-17 years,,,,,,,,,
511,15,Spotify,4,Yes,No,No,Metal,Yes,Yes,140,Rarely,Never,Sometimes,Rarely,Never,Rarely,Never,Rarely,Never,Never,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,10,7,3,2,1,10-17 years,,,,,,,,,
519,17,Spotify,10,Yes,No,Yes,K pop,Yes,Yes,150,Rarely,Sometimes,Rarely,Rarely,Never,Very frequently,Never,Very frequently,Rarely,Sometimes,Very frequently,Very frequently,Sometimes,Very frequently,Very frequently,Sometimes,10,3,0,4,1,10-17 years,,,,,,,,,
525,16,Other streaming service,4,Yes,No,No,EDM,Yes,Yes,624,Sometimes,Never,Very frequently,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Sometimes,4,7,1,3,1,10-17 years,,,,,,,,,
538,17,Spotify,4,Yes,Yes,Yes,Metal,No,No,120,Never,Rarely,Very frequently,Never,Never,Never,Rarely,Never,Never,Rarely,Very frequently,Sometimes,Never,Never,Very frequently,Sometimes,4,2,0,0,1,10-17 years,,,,,,,,,
546,16,Spotify,2,Yes,No,No,Video game music,No,No,149,Very frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Very frequently,6,2,4,3,1,10-17 years,,,,,,,,,
548,17,Spotify,5,Yes,Yes,No,Rock,Yes,No,110,Very frequently,Rarely,Rarely,Sometimes,Rarely,Very frequently,Very frequently,Never,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Sometimes,7,3,9,7,1,10-17 years,,,,,,,,,
550,17,Spotify,2,Yes,No,No,Folk,Yes,Yes,116,Very frequently,Sometimes,Never,Very frequently,Sometimes,Rarely,Very frequently,Never,Sometimes,Sometimes,Never,Very frequently,Rarely,Never,Sometimes,Rarely,9,4,0,1,1,10-17 years,,,,,,,,,
561,17,Spotify,4,Yes,No,No,Hip hop,Yes,No,144,Sometimes,Never,Never,Never,Never,Very frequently,Never,Never,Never,Very frequently,Never,Sometimes,Never,Very frequently,Never,Never,7,0,2,2,1,10-17 years,,,,,,,,,
566,16,Spotify,3,No,Yes,No,Rock,Yes,Yes,90,Rarely,Never,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Very frequently,Never,7,3.5,3.5,5.5,1,10-17 years,,,,,,,,,
567,17,Spotify,4,Yes,Yes,Yes,Country,Yes,Yes,110,Sometimes,Very frequently,Never,Never,Never,Rarely,Sometimes,Very frequently,Rarely,Sometimes,Never,Very frequently,Rarely,Rarely,Sometimes,Never,2,0,0,2,1,10-17 years,,,,,,,,,
568,16,Spotify,9,Yes,No,No,Metal,No,Yes,130,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Never,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Never,10,10,10,8,1,10-17 years,,,,,,,,,
577,16,Spotify,8,Yes,Yes,Yes,Rock,Yes,No,120,Very frequently,Never,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Very frequently,Sometimes,8,9,5,10,1,10-17 years,,,,,,,,,
579,17,YouTube Music,8,Yes,No,No,Pop,Yes,Yes,95,Rarely,Never,Very frequently,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Never,Very frequently,Never,Rarely,Rarely,Very frequently,5,2,4,7,0,10-17 years,,,,,,,,,
582,17,Spotify,1,No,No,No,Metal,Yes,Yes,137,Sometimes,Never,Never,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Never,Rarely,Very frequently,Rarely,9,8,4,0,1,10-17 years,,,,,,,,,
583,17,Spotify,1,Yes,Yes,No,Metal,Yes,Yes,70,Rarely,Never,Rarely,Sometimes,Never,Never,Never,Never,Very frequently,Very frequently,Very frequently,Sometimes,Never,Never,Very frequently,Very frequently,8,3,9,2,0,10-17 years,,,,,,,,,
585,17,Spotify,5,Yes,No,No,Hip hop,Yes,No,168,Rarely,Sometimes,Very frequently,Never,Sometimes,Very frequently,Never,Sometimes,Never,Sometimes,Rarely,Very frequently,Very frequently,Very frequently,Rarely,Rarely,7,7,5,5,1,10-17 years,,,,,,,,,
588,16,Spotify,6,Yes,No,No,Pop,Yes,Yes,105,Rarely,Rarely,Sometimes,Rarely,Never,Very frequently,Sometimes,Very frequently,Very frequently,Rarely,Never,Very frequently,Very frequently,Very frequently,Never,Never,10,7,6,10,1,10-17 years,,,,,,,,,
590,13,Spotify,1,Yes,No,No,Video game music,Yes,No,128,Rarely,Sometimes,Never,Rarely,Never,Very frequently,Rarely,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Never,Sometimes,Sometimes,Very frequently,10,10,8,4,-1,10-17 years,,,,,,,,,
592,14,Other streaming service,7,Yes,Yes,No,Country,Yes,No,108,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,Never,Never,Never,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,Very frequently,Rarely,7,3,1,2,1,10-17 years,,,,,,,,,
595,17,Spotify,2,Yes,Yes,No,Rock,Yes,Yes,120,Very frequently,Rarely,Never,Sometimes,Never,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Very frequently,Never,Rarely,Very frequently,Never,7,6,0,9,1,10-17 years,,,,,,,,,
1,18,Spotify,4,No,No,No,Video game music,No,Yes,132,Never,Never,Very frequently,Never,Never,Rarely,Rarely,Very frequently,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Very frequently,7,7,10,2,0,18-24 years,,,,,,,,,
3,18,Spotify,4,Yes,No,No,R&B,Yes,No,107,Never,Never,Rarely,Never,Rarely,Very frequently,Never,Very frequently,Sometimes,Sometimes,Never,Sometimes,Very frequently,Very frequently,Never,Rarely,7,2,5,9,1,18-24 years,,,,,,,,,
4,18,Spotify,5,Yes,Yes,Yes,Jazz,Yes,Yes,86,Rarely,Sometimes,Never,Never,Never,Sometimes,Very frequently,Very frequently,Rarely,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Very frequently,Never,8,8,7,7,1,18-24 years,,,,,,,,,
5,18,YouTube Music,3,Yes,Yes,No,Video game music,Yes,Yes,66,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Sometimes,4,8,6,0,1,18-24 years,,,,,,,,,
6,21,Spotify,1,Yes,No,No,K pop,Yes,Yes,95,Never,Never,Rarely,Never,Never,Very frequently,Rarely,Very frequently,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Rarely,5,3,5,3,1,18-24 years,,,,,,,,,
7,19,Spotify,6,Yes,No,No,Rock,No,No,94,Never,Very frequently,Never,Sometimes,Never,Never,Never,Never,Never,Never,Very frequently,Never,Never,Never,Very frequently,Never,2,0,0,0,1,18-24 years,,,,,,,,,
8,18,I do not use a streaming service.,1,Yes,No,No,R&B,Yes,Yes,155,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,2,2,5,1,1,18-24 years,,,,,,,,,
9,19,YouTube Music,8,Yes,No,No,EDM,Yes,No,125,Rarely,Never,Very frequently,Never,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,1,0,0,1,1,18-24 years,,,,,,,,,
10,19,Spotify,2,Yes,No,No,Country,Yes,No,88,Never,Very frequently,Rarely,Sometimes,Never,Sometimes,Never,Never,Never,Rarely,Never,Rarely,Never,Very frequently,Never,Never,2,1,2,0,1,18-24 years,,,,,,,,,
11,18,Spotify,4,Yes,Yes,No,Jazz,Yes,Yes,148,Very frequently,Rarely,Never,Never,Never,Never,Very frequently,Never,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,6,4,7,0,1,18-24 years,,,,,,,,,
16,19,I do not use a streaming service.,5,Yes,No,No,R&B,Yes,Yes,118,Rarely,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Sometimes,Never,Never,Rarely,Rarely,Rarely,Very frequently,Very frequently,Sometimes,Rarely,6,7,5,4,1,18-24 years,,,,,,,,,
17,18,Spotify,2,Yes,No,No,Pop,No,Yes,79,Rarely,Rarely,Sometimes,Never,Never,Rarely,Never,Rarely,Sometimes,Never,Never,Very frequently,Never,Never,Never,Rarely,3,3,8,6,0,18-24 years,,,,,,,,,
19,18,Spotify,2,No,No,No,Pop,Yes,Yes,169,Sometimes,Rarely,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Never,Sometimes,Never,Very frequently,Sometimes,Sometimes,Sometimes,Never,7,4,2,5,1,18-24 years,,,,,,,,,
20,18,YouTube Music,6,Yes,Yes,Yes,Pop,No,Yes,101,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Very frequently,Sometimes,Sometimes,Never,Never,3,2,1,2,1,18-24 years,,,,,,,,,
23,19,Spotify,2,Yes,No,No,Classical,No,No,120,Very frequently,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Very frequently,4,4,4,3,0,18-24 years,,,,,,,,,
26,18,Spotify,5,Yes,Yes,No,Pop,Yes,No,120,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Never,3,2,1,1,1,18-24 years,,,,,,,,,
27,21,Spotify,4,Yes,No,No,Pop,No,Yes,89,Never,Never,Rarely,Never,Never,Sometimes,Never,Rarely,Rarely,Never,Never,Very frequently,Never,Rarely,Never,Never,6,8,0,2,1,18-24 years,,,,,,,,,
29,20,Spotify,4,Yes,No,No,EDM,Yes,No,161,Rarely,Rarely,Very frequently,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Sometimes,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Rarely,7,2,8,6,1,18-24 years,,,,,,,,,
30,23,YouTube Music,2,Yes,Yes,Yes,Video game music,Yes,No,80,Sometimes,Rarely,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,4,2,3,4,1,18-24 years,,,,,,,,,
31,18,Spotify,5,Yes,Yes,No,Rock,Yes,No,130,Very frequently,Never,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Sometimes,Very frequently,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,7,6,5,0,1,18-24 years,,,,,,,,,
34,18,Spotify,4,Yes,No,No,Metal,Yes,Yes,77,Rarely,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Never,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,1,0,8,2,0,18-24 years,,,,,,,,,
37,24,Spotify,3,Yes,No,No,Rock,Yes,Yes,115,Rarely,Never,Rarely,Sometimes,Never,Never,Never,Rarely,Never,Very frequently,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,9,6,4,3,1,18-24 years,,,,,,,,,
38,18,Spotify,5,Yes,No,Yes,Metal,Yes,Yes,157,Never,Never,Rarely,Rarely,Never,Very frequently,Rarely,Never,Rarely,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Very frequently,Never,7,9,5,0,1,18-24 years,,,,,,,,,
39,19,Spotify,3,Yes,No,No,Pop,No,Yes,90,Sometimes,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,Rarely,Never,Sometimes,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Sometimes,7,4,2,4,0,18-24 years,,,,,,,,,
42,23,Apple Music,1,No,No,No,Rap,No,Yes,140,Sometimes,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,Never,Never,Never,Sometimes,Rarely,Rarely,Very frequently,Very frequently,Rarely,10,6,3,10,0,18-24 years,,,,,,,,,
43,22,Spotify,4,Yes,No,Yes,Rock,Yes,Yes,126,Rarely,Never,Rarely,Sometimes,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Very frequently,Sometimes,Rarely,Very frequently,Rarely,8,7,4,3,1,18-24 years,,,,,,,,,
44,18,Spotify,6,Yes,No,No,Rock,Yes,No,91,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Very frequently,Never,8,6,2,10,0,18-24 years,,,,,,,,,
45,23,Spotify,7,Yes,No,No,Folk,Yes,Yes,55,Rarely,Very frequently,Never,Very frequently,Very frequently,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,6,4,2,3,1,18-24 years,,,,,,,,,
46,23,I do not use a streaming service.,1,Yes,Yes,No,Video game music,No,No,85,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,7,0,0,2,1,18-24 years,,,,,,,,,
47,19,YouTube Music,1,No,Yes,No,K pop,Yes,Yes,160,Never,Never,Never,Never,Never,Never,Sometimes,Very frequently,Never,Never,Never,Never,Never,Never,Never,Rarely,10,1,0,0,1,18-24 years,,,,,,,,,
48,22,Pandora,1,No,Yes,No,Rock,Yes,No,108,Rarely,Never,Sometimes,Rarely,Never,Never,Very frequently,Never,Never,Never,Never,Sometimes,Rarely,Never,Very frequently,Rarely,8,7,0,5,1,18-24 years,,,,,,,,,
53,24,Spotify,3,No,No,No,Rock,Yes,Yes,130,Sometimes,Sometimes,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Very frequently,Very frequently,Never,Never,Very frequently,Never,0,0,8,0,0,18-24 years,,,,,,,,,
57,19,YouTube Music,3,Yes,No,No,Rock,Yes,No,160,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Rarely,8,7,4,0,1,18-24 years,,,,,,,,,
59,22,Apple Music,0.5,No,No,No,Hip hop,No,No,113,Sometimes,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Never,7,7,0,1,0,18-24 years,,,,,,,,,
62,19,Spotify,10,Yes,No,No,R&B,Yes,Yes,110,Never,Rarely,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Rarely,Very frequently,Rarely,Never,Never,7,2,1,5,1,18-24 years,,,,,,,,,
63,18,YouTube Music,2,No,No,No,EDM,No,Yes,150,Sometimes,Rarely,Very frequently,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Never,Very frequently,Rarely,Sometimes,Rarely,Very frequently,9,0,5,10,1,18-24 years,,,,,,,,,
64,18,YouTube Music,4,Yes,No,No,Hip hop,Yes,Yes,93,Never,Never,Rarely,Never,Never,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Never,Very frequently,Very frequently,Very frequently,Sometimes,Rarely,2,7,1,1,1,18-24 years,,,,,,,,,
65,19,Spotify,5,No,Yes,Yes,Rock,Yes,Yes,90,Rarely,Never,Never,Rarely,Never,Sometimes,Very frequently,Never,Very frequently,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very frequently,Rarely,10,8,7,0,1,18-24 years,,,,,,,,,
66,19,Spotify,3,Yes,No,No,Jazz,Yes,No,118,Rarely,Never,Rarely,Never,Never,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Never,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,3,0,0,0,1,18-24 years,,,,,,,,,
67,22,Spotify,2,Yes,No,No,K pop,Yes,Yes,126,Never,Never,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Sometimes,Never,Sometimes,Very frequently,Rarely,7,8,5,1,0,18-24 years,,,,,,,,,
69,19,Spotify,3,Yes,No,No,R&B,Yes,Yes,77,Rarely,Never,Sometimes,Never,Never,Very frequently,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Rarely,Very frequently,5,4,0,1,1,18-24 years,,,,,,,,,
76,24,Spotify,4,Yes,No,No,Classical,Yes,Yes,175,Very frequently,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Very frequently,Rarely,4,6,5,3,1,18-24 years,,,,,,,,,
78,19,YouTube Music,4,Yes,No,No,Video game music,Yes,No,162,Rarely,Never,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never,Rarely,Very frequently,8,2,1,6,1,18-24 years,,,,,,,,,
79,22,Spotify,10,Yes,No,No,Metal,Yes,Yes,189,Rarely,Very frequently,Never,Very frequently,Never,Never,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Sometimes,Sometimes,9,6,0,6,1,18-24 years,,,,,,,,,
80,20,Spotify,3,No,No,Yes,EDM,Yes,Yes,121,Rarely,Sometimes,Very frequently,Never,Never,Sometimes,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,0,3,7,0,1,18-24 years,,,,,,,,,
82,19,Spotify,4,Yes,No,No,Metal,Yes,Yes,105,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Rarely,4,1,1,1,1,18-24 years,,,,,,,,,
84,18,Spotify,2,No,Yes,Yes,Metal,Yes,Yes,149,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Very frequently,Sometimes,Never,Rarely,Very frequently,Rarely,3,4,6,1,1,18-24 years,,,,,,,,,
88,20,Spotify,3,Yes,No,No,Rock,Yes,Yes,170,Never,Never,Rarely,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Rarely,Sometimes,Sometimes,Rarely,Very frequently,Sometimes,6,7,0,0,1,18-24 years,,,,,,,,,
89,21,YouTube Music,2,Yes,Yes,No,Metal,Yes,Yes,107,Sometimes,Rarely,Never,Very frequently,Never,Never,Rarely,Never,Never,Rarely,Very frequently,Rarely,Never,Rarely,Sometimes,Very frequently,8,4,10,0,0,18-24 years,,,,,,,,,
91,20,Spotify,2,Yes,Yes,No,Pop,Yes,No,126,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Very frequently,Never,Rarely,Very frequently,Sometimes,7,4,6,5,1,18-24 years,,,,,,,,,
93,23,Spotify,2,Yes,No,No,Metal,Yes,Yes,100,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Never,Sometimes,Rarely,6,3,0,1,1,18-24 years,,,,,,,,,
95,19,YouTube Music,4,Yes,No,No,Pop,Yes,No,156,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Never,Never,Rarely,Very frequently,Rarely,Sometimes,Sometimes,Sometimes,7,10,5,0,1,18-24 years,,,,,,,,,
96,22,Spotify,2,Yes,Yes,No,Rock,Yes,Yes,98,Sometimes,Never,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,8,6,0,0,1,18-24 years,,,,,,,,,
97,19,Spotify,8,Yes,No,No,K pop,Yes,Yes,100,Very frequently,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Very frequently,Never,Very frequently,Sometimes,Rarely,Rarely,Rarely,4,3,0,0,1,18-24 years,,,,,,,,,
98,23,Spotify,4,Yes,No,No,Hip hop,Yes,Yes,78,Rarely,Never,Sometimes,Sometimes,Never,Very frequently,Rarely,Very frequently,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,7,6,7,5,1,18-24 years,,,,,,,,,
99,23,Spotify,2,No,Yes,No,Metal,No,Yes,117,Never,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Very frequently,Never,Never,Rarely,Sometimes,Never,7,3,2,3,1,18-24 years,,,,,,,,,
100,22,Spotify,1,No,No,Yes,EDM,Yes,No,128,Never,Never,Very frequently,Never,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Very frequently,Very frequently,Sometimes,Sometimes,Never,2,7,5,0,1,18-24 years,,,,,,,,,
103,19,Apple Music,3,Yes,No,No,Rock,Yes,Yes,126,Never,Sometimes,Sometimes,Never,Never,Very frequently,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Very frequently,Sometimes,5,2,8,6,1,18-24 years,,,,,,,,,
105,21,YouTube Music,1,No,No,No,Rock,Yes,No,179,Never,Rarely,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Very frequently,Sometimes,Rarely,Sometimes,Sometimes,Very frequently,Rarely,6,5,0,0,0,18-24 years,,,,,,,,,
107,22,Spotify,10,No,Yes,Yes,EDM,No,Yes,128,Sometimes,Sometimes,Very frequently,Very frequently,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Sometimes,Sometimes,4,7,7,3,1,18-24 years,,,,,,,,,
108,18,Spotify,4,Yes,Yes,Yes,Pop,Yes,Yes,130,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Rarely,Rarely,Very frequently,Very frequently,4,5,6,5,1,18-24 years,,,,,,,,,
110,24,Spotify,1,No,No,No,Metal,Yes,No,86,Sometimes,Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,6,4,5,0,1,18-24 years,,,,,,,,,
116,21,Spotify,3,Yes,Yes,No,Rock,Yes,No,160,Never,Never,Never,Very frequently,Never,Sometimes,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,8,9,2,0,1,18-24 years,,,,,,,,,
117,18,Spotify,2,Yes,Yes,No,Video game music,No,Yes,101,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Sometimes,Very frequently,8,3,8,7,1,18-24 years,,,,,,,,,
118,19,Spotify,3,Yes,Yes,No,Classical,Yes,No,122,Very frequently,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Sometimes,Never,Very frequently,Never,Never,Rarely,Sometimes,3,3,1,2,1,18-24 years,,,,,,,,,
126,22,Other streaming service,6,Yes,Yes,Yes,Jazz,Yes,Yes,140,Sometimes,Rarely,Very frequently,Very frequently,Rarely,Very frequently,Very frequently,Rarely,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,8,8,8,5,1,18-24 years,,,,,,,,,
129,19,Spotify,8,Yes,No,No,EDM,Yes,No,174,Never,Never,Very frequently,Never,Never,Sometimes,Never,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,6,8,8,0,1,18-24 years,,,,,,,,,
130,21,Spotify,3,Yes,No,No,Pop,Yes,Yes,136,Rarely,Very frequently,Sometimes,Rarely,Never,Very frequently,Rarely,Never,Very frequently,Sometimes,Rarely,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,6,8,6,0,-1,18-24 years,,,,,,,,,
132,21,I do not use a streaming service.,3,Yes,No,No,Rock,No,No,77,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,Very frequently,Very frequently,9,10,3,0,0,18-24 years,,,,,,,,,
136,18,Spotify,1,Yes,Yes,No,Metal,Yes,Yes,190,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Very frequently,Sometimes,6,9,9,0,1,18-24 years,,,,,,,,,
137,22,Spotify,2,No,No,No,R&B,No,Yes,87,Sometimes,Never,Never,Never,Never,Rarely,Never,Very frequently,Very frequently,Sometimes,Never,Sometimes,Very frequently,Rarely,Rarely,Sometimes,1,1,4,1,0,18-24 years,,,,,,,,,
